;SECTOR;SUBSECTOR;SEGMENT;ISSUER;CODE;TRADING SEGMENT
2;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;AZT ENERGIA;AZTE;Básico Bolsa
3;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;BRAVA;BRAV;Novo Mercado
4;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;COSAN;CSAN;Novo Mercado
5;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;PET MANGUINH;RPMG;Básico Bolsa
6;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;PETROBRAS;PETR;Nível 2
7;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;PETRORECSA;RECV;Novo Mercado
8;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;PRIO;PRIO;Novo Mercado
9;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;RAIZEN;RAIZ;Nível 2
10;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Exploration, Refining and Distribution;ULTRAPAR;UGPA;Novo Mercado
11;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Equipment and Services;LUPATECH;LUPA;Novo Mercado
12;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Equipment and Services;OCEANPACT;OPCT;Novo Mercado
13;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Equipment and Services;OSX BRASIL;OSXB;Novo Mercado
14;Oil,Gas and Biofuels;Oil,Gas and Biofuels;Fuel Distribution;VIBRA;VBBR;Novo Mercado
16;Basic Materials;Mining;Metalic Minerals;AURA 360;AURA;BDR3
17;Basic Materials;Mining;Metalic Minerals;BRADESPAR;BRAP;Nível 1
18;Basic Materials;Mining;Metalic Minerals;CBA;CBAV;Novo Mercado
19;Basic Materials;Mining;Metalic Minerals;CSNMINERACAO;CMIN;Nível 2
20;Basic Materials;Mining;Metalic Minerals;LITEL;LTEL;Básico Balcão
21;Basic Materials;Mining;Metalic Minerals;LITELA;LTLA;Básico Balcão
22;Basic Materials;Mining;Metalic Minerals;VALE;VALE;Novo Mercado
23;Basic Materials;Steel and Metalurgy;Steel;FERBASA;FESA;Nível 1
24;Basic Materials;Steel and Metalurgy;Steel;GERDAU;GGBR;Nível 1
25;Basic Materials;Steel and Metalurgy;Steel;GERDAU MET;GOAU;Nível 1
26;Basic Materials;Steel and Metalurgy;Steel;SID NACIONAL;CSNA;Básico Bolsa
27;Basic Materials;Steel and Metalurgy;Steel;USIMINAS;USIM;Nível 1
28;Basic Materials;Steel and Metalurgy;Iron and Steel Products;HAGA S/A;HAGA;Básico Bolsa
29;Basic Materials;Steel and Metalurgy;Iron and Steel Products;MANGELS INDL;MGEL;Básico Bolsa
30;Basic Materials;Steel and Metalurgy;Iron and Steel Products;PANATLANTICA;PATI;Básico Bolsa
31;Basic Materials;Steel and Metalurgy;Copper Products;PARANAPANEMA;PMAM;Novo Mercado
32;Basic Materials;Chemicals;Petrochemicals;BRASKEM;BRKM;Nível 1
